CUSTOMER_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,EMAIL,AGE,GENDER,MARITAL_STATUS,EMPLOYMENT_STATUS,ADDRESS,INCOME(MONTH),CIBIL_SCORE,PAN_NUMBER,ACCOUNT_NUMBER,NUMBER_OF_DEPENDENTS
CUST10001,Aarav,Shetty,9247293176,aarav.shetty@gmail.com,38,MALE,Single,Self-Employed,"9-6-788/312 Banjara Hills,Hyderabad",123000,465,ABCD9521F,415029687714,2
CUST10002,Aditya,Pandey,9778265777,aditya.pandey@gmail.com,42,FEMALE,Married,Employed,"7-1-203/653 Banjara Hills,Hyderabad",67000,900,ABCD9838R,369125888613,0
CUST10003,Aishwarya,Gowda,7731696629,aishwarya.gowda@gmail.com,33,FEMALE,Married,Self-Employed,"3-9-681/453 Yousufguda,Secunderabad",102000,792,AAAA7910X,686789183287,2
CUST10004,Alok,Aggarwal,9578049340,alok.aggarwal@gmail.com,30,MALE,Single,Self-Employed,"8-4-210/117 Yousufguda,Hyderabad",89000,786,ABCD2423F,234328099572,2
CUST10005,Amit,Jain,8086556849,amit.jain@gmail.com,26,FEMALE,Single,Employed,"1-8-442/389 Banjara Hills,Secunderabad",146000,637,AAAP3316T,105475176024,4
CUST10006,Ananya,Banerjee,7345083408,ananya.banerjee@gmail.com,42,FEMALE,Married,Self-Employed,"8-7-203/21 Ameerpet,Hyderabad",71000,791,XYZA3316Y,446702548578,0
CUST10007,Anjali,Iyer,7796367485,anjali.iyer@gmail.com,27,MALE,Married,Self-Employed,"1-9-480/92 Ameerpet,Secunderabad",122000,732,AAAA3473C,655724266121,3
CUST10008,Aryan,Chopra,8469044200,aryan.chopra@gmail.com,38,FEMALE,Single,Employed,"4-7-873/437 Banjara Hills,Hyderabad",120000,855,XYZA4338X,722408452330,2
CUST10009,Bhavna,Gupta,7362887887,bhavna.gupta@gmail.com,29,MALE,Married,Employed,"1-5-639/797 Yousufguda,Secunderabad",120000,386,AAAA8067H,525943764154,0
CUST10010,Deepak,Reddy,7461438942,deepak.reddy@gmail.com,38,FEMALE,Married,Employed,"3-3-141/439 Ameerpet,Hyderabad",30000,892,AAAA4848K,415029687714,4
CUST10011,Divya,Ghosh,6846588170,divya.ghosh@gmail.com,46,FEMALE,Married,Employed,"6-2-822/962 Kukatpally,Secunderabad",77000,648,AAAP5467U,828514299960,2
CUST10012,Diya,Saxena,6200318292,diya.saxena@gmail.com,22,FEMALE,Single,Employed,"8-7-381/889 Madhapur,Hyderabad",52000,323,ABCD6296O,939604677522,4
