CUTOMER_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,EMAIL,AGE,GENDER,MARITAL_STATUS,ADDRESS,EMPLOYMENT_STATUS,INCOME(MONTH),PAN_NUMBER,ACCOUNT_NUMBER,CIBIL_SCORE,NUMBER_OF_DEPENDENTS
CUST10001,Aarav,Shetty,9247293176,aarav.shetty@gmail.com,38,Male,Single,"9-6-788/312 Banjara Hills,Hyderabad",Self-Employed,123000,ABCD9521F,415029687714,465,2
CUST10002,Aditya,Pandey,9778265777,aditya.pandey@gmail.com,42,Female,Married,"7-1-203/653 Banjara Hills,Hyderabad",Employed,67000,ABCD9838R,369125888613,900,0
CUST10003,Aishwarya,Gowda,7731696629,aishwarya.gowda@gmail.com,33,Female,Married,"3-9-681/453 Yousufguda,Secunderabad",Self-Employed,102000,AAAA7910X,686789183287,792,2
CUST10004,Alok,Aggarwal,9578049340,alok.aggarwal@gmail.com,30,Male,Single,"8-4-210/117 Yousufguda,Hyderabad",Self-Employed,89000,ABCD2423F,234328099572,786,2
CUST10005,Amit,Jain,8086556849,amit.jain@gmail.com,26,Female,Single,"1-8-442/389 Banjara Hills,Secunderabad",Employed,146000,AAAP3316T,105475176024,637,4
CUST10006,Ananya,Banerjee,7345083408,ananya.banerjee@gmail.com,42,Female,Married,"8-7-203/21 Ameerpet,Hyderabad",Self-Employed,71000,XYZA3316Y,446702548578,791,0
CUST10007,Anjali,Iyer,7796367485,anjali.iyer@gmail.com,27,Male,Married,"1-9-480/92 Ameerpet,Secunderabad",Self-Employed,122000,AAAA3473C,655724266121,732,3
CUST10008,Aryan,Chopra,8469044200,aryan.chopra@gmail.com,38,Female,Single,"4-7-873/437 Banjara Hills,Hyderabad",Employed,120000,XYZA4338X,722408452330,855,2
CUST10009,Bhavna,Gupta,7362887887,bhavna.gupta@gmail.com,29,Male,Married,"1-5-639/797 Yousufguda,Secunderabad",Employed,120000,AAAA8067H,525943764154,386,0
CUST10010,Deepak,Reddy,7461438942,deepak.reddy@gmail.com,38,Female,Married,"3-3-141/439 Ameerpet,Hyderabad",Employed,30000,AAAA4848K,415029687714,892,4
CUST10011,Divya,Ghosh,6846588170,divya.ghosh@gmail.com,46,Female,Married,"6-2-822/962 Kukatpally,Secunderabad",Employed,77000,AAAP5467U,828514299960,648,2
CUST10012,Diya,Saxena,6200318292,diya.saxena@gmail.com,22,Female,Single,"8-7-381/889 Madhapur,Hyderabad",Employed,52000,ABCD6296O,939604677522,323,4
CUST10013,Harsha,Sharma,8889985505,harsha.sharma@gmail.com,37,Male,Single,"5-5-801/984 Yousufguda,Hyderabad",Employed,92000,ABCD2154M,297739021455,409,4
CUST10014,Isha,Das,8474675886,isha.das@gmail.com,36,Female,Married,"1-8-431/721 Yousufguda,Secunderabad",Self-Employed,146000,AAAA8849R,461915037069,741,3
CUST10015,Jaya,Dutta,8509204039,jaya.dutta@gmail.com,25,Male,Single,"6-7-814/628 Yousufguda,Hyderabad",Self-Employed,123000,ABCD6023Q,762623381003,734,0
CUST10016,Karthik,Pillai,7255576840,karthik.pillai@gmail.com,36,Male,Married,"9-6-788/312 Banjara Hills,Hyderabad",Self-Employed,56000,AAAP4320W,239150733339,723,4
CUST10017,Kavya,Chowdhury,7337257619,kavya.chowdhury@gmail.com,35,Female,Married,"1-9-679/932 Banjara Hills,Secunderabad",Employed,29000,AAAA2405F,791664794995,472,4
CUST10018,Krishna,Nair,7735340479,krishna.nair@gmail.com,47,Female,Married,"1-5-392/627 Ameerpet,Secunderabad",Employed,131000,ABCD9521F,989089577156,629,0
CUST10019,Lakshmi,Singh,7651917685,lakshmi.singh@gmail.com,21,Female,Married,"7-6-497/682 Yousufguda,Hyderabad",Employed,88000,ABCD4452Y,432990259960,826,0
CUST10020,Manish,Mehta,6325398806,manish.mehta@gmail.com,29,Male,Married,"2-6-208/635 Kukatpally,Hyderabad",Employed,143000,AABC9509K,740671983670,622,1
CUST10021,Meera,Mishra,9052779816,meera.mishra@gmail.com,48,Female,Single,"2-2-343/338 Madhapur,Secunderabad",Employed,29000,AAAA5523B,215133880959,653,4
CUST10022,Nandini,Rao,6815936311,nandini.rao@gmail.com,43,Male,Single,"9-3-227/822 Madhapur,Hyderabad",Employed,90000,ABCD3115F,397511182673,420,4
